0;M;18
1;F;25
2;M;35
3;F;45
5;F;55
6;F;17
2;F;19
7;M;24
0;F;38
1;M;47
2;F;59
3;M;19
4;M;25
5;F;32
6;F;42
7;M;53
0;F;20
1;M;29
2;F;49
3;M;26
4;M;33
0;M;18
1;F;25
2;M;35
3;F;45
5;F;55
6;F;17
7;M;24
0;F;38
1;M;47
2;F;59
3;M;19
4;F;25
5;M;32
6;F;42
7;M;53
0;F;20
1;M;29
2;F;49
3;M;26
4;F;33
0;M;18
1;F;25
2;M;35
3;F;45
5;M;55
6;F;17
7;M;24
0;F;38
1;M;47
2;F;59
3;M;19
4;F;25
5;M;32
6;F;42
7;M;53
0;F;20
1;M;29
2;F;49
3;M;26
4;M;33
0;M;18
1;F;25
2;M;35
3;F;45
5;M;55
6;F;17
7;M;24
0;F;38
1;M;47
2;F;59
3;M;19
4;M;25
5;F;32
6;F;42
7;M;53
0;F;20
1;M;29
2;F;49
3;M;26
4;F;33
0;M;18
1;F;25
2;M;35
3;F;45
5;F;55
6;F;17
7;M;24
0;F;38
1;M;47
2;F;59
3;M;19
4;M;25
5;M;32
6;F;42
7;M;53
0;F;20
1;M;29
2;F;49
3;M;26
4;F;33
0;M;18
1;F;25
2;M;35
3;F;45
5;M;55
6;F;17
7;M;24
0;F;38
1;M;47
2;F;59
3;M;19
4;F;25
5;M;32
6;F;42
7;M;53
0;F;20
1;M;29
2;F;49
3;M;26
4;M;33
0;M;18
1;F;25
2;M;35
3;F;45
5;M;55
6;F;17
7;M;24
0;F;38
1;M;47
2;F;59
3;M;19
4;F;25
5;M;32
6;F;42
7;M;53
0;F;20
1;M;29
2;F;49
3;M;26
4;M;33
0;M;18
1;F;25
2;M;35
3;F;45
5;M;55
6;F;17
7;M;24
0;F;38
1;M;47
2;F;59
